진료년도,시도,행위코드,환자수,명세서건수,의료행위총사용량,의료행위청구금액
2024,경기,N1436,746,1087,1175,42845928
2024,경기,N1460,354,375,461,411797856
2024,경기,N1466,43,48,55,44583540
2024,경기,N1469,127,135,158,117035929
2024,경기,N1491,2136,2183,2596,1762532807
2024,경기,N1492,93,103,121,104858603
2024,경기,N1493,14836,15288,16913,10823148798
2024,경기,N1494,5770,5891,6287,3379490920
2024,경기,N1495,130,131,84,18018114
2024,경기,N1497,1018,1037,1361,1000264933
2024,경기,N1498,351,374,456,372926989
2024,경기,N1499,9031,9259,10647,6250209452
2024,경기,N1511,85,179,180,16918720
2024,경기,N1512,30,74,77,11238348
2024,경기,N1583,9,9,9,19142175
2024,경기,N1584,13,13,13,36232274
2024,경기,N1585,5,5,5,5211053
2024,경기,N1601,3154,3180,3389,1206557240
2024,경기,N1602,646,654,694,244096496
2024,경기,N1603,554,566,630,304857238
2024,경기,N1604,1391,1409,1469,575540761
2024,경기,N1605,2676,2692,2814,937276887
2024,경기,N1606,1025,1034,1130,584277840
2024,경기,N1611,9011,9116,10348,5493358680
2024,경기,N1612,776,801,932,490470149
2024,경기,N1613,905,915,1038,744459870
2024,경기,N1614,1956,2011,2256,1337660941
2024,경기,N1615,2634,2661,3048,1486619910
2024,경기,N1616,2438,2508,2922,2089207255
2024,경기,N1711,25,25,26,29237284
2024,경기,N1714,1,1,1,312053
2024,경기,N1715,93,99,105,79101110
2024,경기,N1721,22,22,22,13158239
2024,경기,N1725,77,78,80,41645013
2024,경기,N1901,39,41,68,12003975
2024,경기,N1902,121,126,139,18276734
2024,경기,N1903,123,126,128,15380477
2024,경기,N1904,22,22,23,2794197
2024,경기,N1905,49,51,62,3522044
2024,경기,N2070,707,921,1203,957993336
2024,경기,N2071,1,1,1,
2024,경기,N2072,9964,10687,15323,9631635673
2024,경기,N2073,11,11,12,6659226
2024,경기,N2074,1,1,1,618211
2024,경기,N2075,88,92,107,60270313
2024,경기,N2076,1,1,1,
2024,경기,N2077,2888,3232,4699,4410315755
2024,경기,N2078,9,9,10,8518185
2024,경기,N2079,22,23,28,22794731
2024,경기,N2080,74,77,81,68047974
2024,경기,N2081,16,16,24,22319597
2024,경기,N2082,816,839,912,654466294
2024,경기,N2083,230,244,329,292830283
2024,경기,N2461,6,6,7,10633682
2024,경기,N2462,2,2,2,2028033
2024,경기,N2463,2455,2513,2787,4252331419
2024,경기,N2465,1,1,1,2597333
2024,경기,N2466,14,15,16,41004960
2024,경기,N2467,6,6,6,14905893
2024,경기,N2468,30,32,38,52280488
2024,경기,N2469,307,332,372,594293056
2024,경기,N2470,5165,5247,5624,5015819422
2024,경기,N2471,13,14,17,4419905
2024,경기,N2472,281,286,275,90267843
2024,경기,N2491,533,567,678,643713726
2024,경기,N2492,508,518,971,599365737
2024,경기,N2497,100,101,157,118987001
2024,경기,N2498,90,101,135,113964065
2024,경기,N2499,425,451,594,350466093
2024,경기,N2710,1823,2131,2557,1457603168
2024,경기,N2711,18,18,20,12980152
2024,경기,N2712,807,828,929,531275474
2024,경기,N2713,27,28,33,14219450
2024,경기,N2715,2,2,3,1362075
2024,경기,N2716,10,10,12,8716730
2024,경기,N2717,92,101,119,74024955
2024,경기,N2718,6,6,8,4391457
2024,경기,N3710,30,32,39,43888943
2024,경기,N3711,5,6,11,6197807
2024,경기,N3712,174,181,204,177922844
2024,경기,N3715,2,2,3,1727946
2024,경기,N3716,8,9,13,10321401
2024,경기,N3717,129,144,178,166344799
2024,경기,N3718,1,1,1,889014
2024,경기,N3720,11,11,11,7999196
2024,경기,N3721,4,5,8,2879140
2024,경기,N3722,142,148,162,72464308
2024,경기,N3723,2,2,2,673111
2024,경기,N3725,4,4,5,1560179
2024,경기,N3726,5,5,7,3329260
2024,경기,N3727,81,87,98,50452316
2024,경기,N3729,3,3,3,1607230
2024,경기,N4710,79,87,102,84611659
2024,경기,N4711,9,9,10,7072204
2024,경기,N4712,98,102,123,76319375
2024,경기,N4715,3,3,4,1937662
2024,경기,N4716,3,3,5,2963544
2024,경기,N4717,40,46,56,39150615
2024,경기,N4720,59,63,69,37398821
2024,경기,N4721,5,5,6,2557184
2024,경기,N4722,57,57,61,23986625
2024,경기,N4723,2,2,2,611100
2024,경기,N4725,1,2,3,376508
2024,경기,N4726,1,1,1,606752
2024,경기,N4727,8,8,8,4014037
2024,경기,N4729,1,1,1,475238
2024,경기,N7121,2439,2566,2934,951757243
2024,경기,N7122,292,294,354,146479932
2024,경기,N7131,76,77,80,78092270
2024,경기,N7132,1004,1008,1947,966795640
2024,경기,N7133,2019,2161,2661,1890570088
2024,경기,N7134,162,163,271,91546779
2024,경기,N7136,498,536,621,1226456810
2024,경기,N7137,5326,5621,6526,10725857302
2024,경기,N7138,614,654,730,1539141613
2024,경기,N7139,1610,1702,1917,3282786660
2024,경기,N7140,24,24,24,90481216
2024,경기,N7141,2,2,2,7740068
2024,경기,N7142,10,10,10,41223150
2024,경기,N7143,16,16,16,71727175
2024,경기,N7145,3,3,3,17608703
2024,경기,N7146,52,52,53,348272592
2024,경기,N7147,26,26,26,183134159
2024,경기,N7148,265,270,277,400707851
2024,경기,N7149,855,861,953,1521494857
2024,경기,N7150,244,248,263,303285970
2024,경기,N7151,177,189,203,143234608
2024,경기,N7152,110,111,114,51583498
2024,경기,N7153,16,16,16,6822112
2024,경기,NA055,28,54,207,51725152
2024,경기,NA056,3,3,5,3836708
2024,경기,NA058,6,19,19,4727366
2024,경기,NA241,1,1,2,1019612
2024,경기,NA243,1,1,2,1537437
2024,경기,NA281,13,13,13,35935185
2024,경기,NA282,29,29,29,68835970
2024,경기,NA283,13,13,13,22933077
2024,경기,NN001,526830,3333643,4065586,62308355747
2024,경기,NN002,422175,1650795,1936504,59232129566
2024,경기,NN003,186387,408155,435457,21949395063
2024,경기,NN004,68780,98852,104326,7517450697
2024,경기,NN005,43323,61210,62831,5993423489
2024,경기,NN011,4,4,4,53511
2024,경기,NN013,1,1,1,23760
2024,경기,NN021,12716,57542,297433,3144809643
2024,경기,NN022,5824,22006,82908,1309300318
2024,경기,NN023,4297,17490,61974,1304581726
2024,경기,NN031,159490,698938,711469,12919474831
2024,경기,NN032,1590,2980,3789,56930330
2024,경기,NN040,17881,79987,896454,4826011964
2024,경기,NN050,159,212,222,5615777
2024,경기,NN061,689,1380,1391,70438808
2024,경기,NN062,1702,3896,11767,164576982
2024,경기,NN071,1,1,5,347760
